HARMO	Hz=Auto	MD=2	SEC=2	CT=3	VT=1	INPUT=V1	SYS=3P4W	NO.=51 	OPTION=%
DATE	 TIME	 RMS	 PEAK+	 PEAK-	 THD-F	 VI_1	 HZ	 RANGE	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
2012-07-13	  11:00:39	    129.2V	    180.6V	   -183.1V	      1,7%	    129.2V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       1,2	       0,0	       0,5	       0,0	       0,5	       0,0	       0,5	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:41	    128.7V	    179.1V	   -181.7V	      1,7%	    128.7V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,3	       0,8	       0,0	       1,3	       0,0	       0,4	       0,0	       0,4	       0,0	       0,4	       0,0	       0,2	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:43	    129.6V	    180.6V	   -183.1V	      1,7%	    129.6V	    59,9Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       1,3	       0,0	       0,4	       0,0	       0,5	       0,0	       0,4	       0,0	       0,2	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:45	    129.4V	    182.0V	   -183.1V	      1,7%	    129.4V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,2	       0,9	       0,0	       1,3	       0,0	       0,4	       0,0	       0,4	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:47	    128.9V	    180.6V	   -183.1V	      1,5%	    128.9V	    60,1Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       1,1	       0,0	       0,4	       0,0	       0,5	       0,0	       0,3	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:49	    128.6V	    179.1V	   -180.2V	      1,5%	    128.6V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,7	       0,0	       1,2	       0,0	       0,3	       0,0	       0,5	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:51	    129.3V	    179.1V	   -181.7V	      1,8%	    129.3V	    59,9Hz	   0 to 50	       0,0	     100,0	       0,3	       0,9	       0,0	       1,3	       0,0	       0,4	       0,0	       0,4	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:53	    129.6V	    180.6V	   -183.1V	      1,9%	    129.6V	    59,9Hz	   0 to 50	       0,0	     100,0	       0,2	       1,0	       0,0	       1,4	       0,0	       0,4	       0,0	       0,5	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:55	    129.0V	    180.6V	   -181.7V	      1,7%	    129.0V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       1,4	       0,0	       0,4	       0,0	       0,5	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:57	    129.6V	    180.6V	   -183.1V	      1,7%	    129.6V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       1,3	       0,0	       0,3	       0,0	       0,4	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:00:59	    129.6V	    180.6V	   -183.1V	      1,7%	    129.6V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       1,3	       0,0	       0,3	       0,0	       0,5	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:01:01	    128.8V	    180.6V	   -181.7V	      1,5%	    128.8V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       1,1	       0,0	       0,3	       0,0	       0,3	       0,0	       0,4	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-07-13	  11:01:03	    128.9V	    179.1V	   -181.7V	      1,7%	    128.9V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       1,3	       0,0	       0,4	       0,0	       0,5	       0,0	       0,5	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
